Industry or Process,Primary Source,Byproduct Stream,Process Stage of Generation,Valorization Pathways or Processing,Typical issues,Techno–Economic Aspects,End–use Applications,Associated Critical Raw Materials (CRMs),Associated Strategic Raw Materials (SRMs),Average Chemical Composition,Chemical Formulae,Elemental Composition,Physical State of Byproducts,Production Content,pH Level,Water Content
Iron or Steel,"Hematite (Fe2O3), magnetite (Fe3O4), limonite, siderite [43, 52, 23]",Blast furnace (BF) slag ,"Ironmaking – Blast Furnace (BF) [10, 7, 52]","Wet or air granulation to form glassy slag, produces latent hydraulic reactivity [43]
Mechanical activation (i.e., grinding) to produce Supplementary Cementitious Material (SCM)  [38, 46]
Accelerated carbonation with carbon dioxide sequestration leading to stabilization of reactive Ca phases [38]
Thermal treatment for inducing crystallisation process for glass ceramics applications [43]
Crushing and screening for aggregate production [43]","Variability in phase ratio, potential leaching of trace elements [7]","Contributes to the construction and cement industries by reducing carbon dioxide emissions and producing a high volume, low cost material [6, 43]","75% used for hydraulic binder, aggregates, clinker raw materials, glass ceramics, bricks, silica gel and adsorbents [52, 43]","Sc, V, REEs – LREEs and HREEs (La, Y, Nd, Ce) [23]","Mn, REEs for magnets ( Nd, Ce, Pr, Sm, Gd, Dy) [52]","CaO (28–51%)
SiO2 (26–40%)
Al2O3 (6–20%)
MgO (4–11%)
Fe2O3 (<2%) [52]","Akermanite (Ca2MgSi2O7)
Monticellite (CaMgSiO4)
Gehlenite (Ca2Al2SiO7)​, (CaSO4SiO2)
Primarily amorphous phase after rapidly cooling process [6]","Ca, Si, Al, Mg, Fe, S, Mn, Ti, K, Na and trace of REEs (La, Ce, Nd, Pr, Y, Er,Dy) [13]",Solid state: molten liquid during production stage forming granular or vitrified solid after air or water cooling [52],150–347 kg/t Hot Metal (HM) (average of 249 kg/t) [38],10.0–11.0: highly alkaline [6],Negligible: solid oxide matrix after air or water cooling [52]
Iron or Steel,"Hematite (Fe2O3), magnetite (Fe3O4), limonite, siderite [43, 52, 23]",Basic Oxygen Furnace (BOF) or Linz–Donawitz (LD) slag,"Steelmaking through Basic Oxygen Furnace (BOF) or Linz–Donawitz (LD) processes [52, 38, 43]","Weathering (aging) for reduction of volume expansion and stabilization of free lime [23]
Metal recovery of iron (mainly) through magnetic separation [46]
Accelerated carbonation for immobilisation of Cr and V to improve durability [38, 17]
Crushing and grading for construction materials use [46]
Hot–stage modification during tapping to adjust basicity and add flux to control chemical composition [23]","High basicity, free lime expansion potential, potential leaching of Cr or V [38, 23]","Potential for carbon dioxide sequestration, internal recycling within the plant [23]","Aggregates, asphalt and railway ballast, soil conditioning agent, cement clinker raw material [23, 43]","V, Al (bauxite) [7]",Not applicable,"CaO (36.4–55%)
FeO or Fe2O3 (10–37%)
SiO2 (7–23%)
MgO (0.4–14%)
P2O5 (1–3.35%) [6]","Dicalcium silicate (C2S)
Tricalcium silicate (C3S)
Srebrodolskite (Ca2Fe2O5)
Merwinite (Ca3Mg(SiO4)2)
Wüstite (FeO) [52]","Ca, Fe, Si, Mg, P, S, Mn, Al, Cr, K, V, Na [38]","Solid state: stony, granular or rocky aggregate [23]",85–165 kg/t Liquid Steel (LS) (average of 125 kg/t) [38],11.0–13.0: strongly alkaline with approximate average of 12.5 [6],Negligible: stony or rocky solid aggregates [23]
Iron or Steel,"Hematite (Fe2O3), magnetite (Fe3O4), limonite, siderite [43, 52, 23]",Blast Furnace (BF) or Basic Oxygen Furnace (BOF) sludge – wet dust,"Off–gas cleaning system or water scrubbing during Blast furnace (BF) or Basic Oxygen Furnace (BOF) operations [10, 7, 35]","Dewatering and pelletisation to improve handling and furnace recyclability [7]
Hydrometallurgical processes for removal of impurities like Zn and Pb prior to Fe recovery [8, 11]
Pyrometallurgical reduction process through Waelz or rotary kiln for volatilisation of Zn and upgradation of Fe fraction [44]
Magnetic separation for producing Fe–rich concentration, suitable for reuse [7]","Zn, Pb or oil contamination present, high moisture content, fine particle size distribution [7]",Zn and Pb recovery boosts the economic value and recyclability of raw material demand [7],"Fe source for sinter, Zn and Pb recovery, magnetite concentrate [7]","P, REEs – LREEs and HREEs (La, Y) [7]",Not applicable,"Fe (20–70%)
C (10–50%)
Zn (0.1–0.9%) [7]","Hematite (Fe2O3)
Magnetite (Fe3O4)
​Wüstite (FeO)
​Graphite (C)
Quartz (SiO2) 
Cacite [10]","Fe, C, Zn, Pb, Ca, Mg, Si, S, Na, K, Mn [7]",Wet solid or filter cake: slurry prior to dewatering [7],"BF: 2–22 kg/t Hot Metal (HM) (average of 12 kg/t)
BOF: 15–16 kg/t Liquid Steel (LS) [38]",Alkaline: high moisture with high buffering capacity due to  9.0–10.6% of CaO content [10],High: wet gas–cleaning product handled as wet slurry or filter cake) [7]
Iron or Steel,"Hematite (Fe2O3), magnetite (Fe3O4), limonite, siderite [43, 52, 23]",Mill scale,"Surface oxidation during hot rolling of steel [43, 7]","Thermal de–oiling to remove hydrocarbons and make the oxide suitable for further processing [7]
Reduction roasting to convert Fe oxides into more recoverable metallic phases [7]
Magnetic upgrading to separate high–grade Fe oxide fractions from gangue [7]",Oil contamination hence requires de–oiling process [43],"High–grade Fe obtained, making it an economic driver for reuse [43]","Feed for sinter or pellets, Fe powder, anti–corrosion pigments [43, 5]",V [7],Not applicable,"Total Fe (70–95%)
SiO2 (generally <10%)
FeO (wüstite) primary phase [43]","Wüstite (FeO)
Hematite (Fe2​O3​)
Magnetite (Fe3​O4​)
Silica (SiO2​)
Magnesioferrite (MgFe2​O4​) [43]","Fe, Si, Mn, Co, Cr [5]",Solid state: flaky particles or oiled scale [43],2–8 kg/t Liquid Steel (LS) (average of 5 kg/t) [38],Near–neutral to alkaline [38],Low: flaky solid particles often containing surface oil [33]
Iron or Steel,"Hematite (Fe2O3), magnetite (Fe3O4), limonite, siderite [43, 52, 23]",Pickling sludge,Acid pickling operation during steel surface treatment [7],"Neutralization and precipitation to stabilise acidic residues [7]
Selective leaching to recover Fe or Ni or Cr from acid–derived metal complex [7]
Calcination or thermal decomposition to convert precipitated salts into oxide forms for suitable reuse [7]","High acidity, hazardous classification, presence of various metals [7, 30]",Recovery of Fe salts and hazardous waste disposal leads to cost savings [7],"Fe salt recovery, regeneration of pickling acid, pigments [7]",Not applicable,Ni (battery grade) [7],"Fe (21.68%)
Cr (2.42%)
Ni (2.78%)
Primarily rich in salts and secondary metals [7]","Fluorite (CaF2) if neutralized
Metal hydroxide (Fe, Cr, Ni) [7]","Fe, Cr, Ni, Ca, F [7]",Wet solid or sludge: precipitated filter cake [7],Generated as a minor byproduct [7],7.0–9.0: generated from neutralization precipitation of residue [7],Significant: neutralized precipitates handled as wet filter cake [7]
Steel (scrap–based),"Scrap steel, direct reduced iron [23, 38]",Electric Arc Furnace (EAF) slag,"Electric Arc Furnace (EAF) steelmaking process [7, 52]","Magnetic separation to recover entrained metallic phases [33,23]
Carbonation to avoid Cr(VI) formation [17, 38]
Mechanical activation (Grinding) to enhance cementitious applications [38, 46]
Hot–stage foaming or slag formation for controlling FeO content [15]","High metal droplets, variable composition, Cr(VI) risk [33, 23]","Recovery of alloy elements (Cr or V or Mo)that is economically beneficial [23, 33]","Aggregates, Supplementary Cementitious Material (SCM), Cr or V or Mo concentrates, alkali–activated binders [33, 23]","V, Nb, Al (bauxite), Ti, Mg [33]","Mg metal, Ti metal [23]","CaO (22–60%)
FeO (10–40%)
SiO2 (6–34%)
Al2O3 (3–14%)
Cr2O3 (~3.5%) [33]","Larnite (Ca2​SiO4​)
Magnetite (Fe3​O4​)
Srebrodolskite (Ca2​Fe2​O5​)
Hematite (Fe2​O3​)
Chromite [(Fe,Mg)Cr2​O4​]
Wüstite [15]","Ca, Fe, Si, Mg, Mn, Al, S, P, Cr, V, Ni, Cu, Pb, Zn [33]",Solid state: stony or granular aggregate [33],60–270 kg/t Liquid Steel (LS) (average of 165 kg/t) [38],"10.0–12.0: highly alkaline, recorded at 11.7 approximately [6]",Negligible: stony solid aggregates [33]
Steel (scrap–based),"Scrap steel, direct reduced iron [23, 38]",Electric Arc Furnace (EAF) dust – Zn–rich,"EAF off–gas cleaning – baghouse or Electrostatic Precipitator (ESP) dust [37, 7]","Waelz kiln volatilization process to produce ZnO fume [40]
Hydrometallurgical leaching through acid or alkali [8, 11]
Chloride removal or dechlorination [8]
Agglomeration and reduction for Fe recovery [11]","Hazardous presence of Pb, Cd or+F8 Cr, fine particles, Cl contamination [7, 35]","Major secondary source of Zn globally, advantageous Waelz processing [35, 23]","High–grade ZnO, Zn metal, Fe–rich pellets, insulators [35]",As [35],Not applicable,"Zn (up to 37%)
Total Fe (35.1%)
Pb (3.1%)
Cd (traces) [35]","Franklinite (ZnFe2​O4​)
Magnetite (Fe3​O4​)
Zincite (ZnO)
Halite (NaCl) [35]","Zn, Fe, Pb, Cd, Cl, Na, Mn, Al, Cr, K [35]","Solid state: fine powder, often characterized by spherical particles [10]",10–30 kg/t Liquid Steel (LS) (average of 20 kg/t) [38],12.0 approximately: natural pH in water wash [6],Low: fine dry powder collected in baghouses or ESP filters [35]
Steel (scrap–based),"Scrap steel, direct reduced iron [23, 38]",Stainless steel slag,"Stainless steelmaking – EAF or Ladle Furnace (LF) [17, 7]","Metal recovery of Cr or Ni or Mo through magnetic or density separation [17]
Free–lime stabilization via aging process [17]
Carbonation for immobilisation of heavy–metals [38]
Thermal or chemical activation for Supplementary Cementitious Material (SCM) use [46, 18]","Heavy metal content, variability, free–lime expansion [23]",Contains high value SRMs (Cr or Ni or Mo or Ti) [7],"Metallic revert material, Precipitated Calcium Carbonate (PCC), geopolymers, aggregates [23]",V [33],"Ni, Ti metal [33]","Cr2O3 (0.5–7%)
CaO (40–55%)
SiO2 (25–30%)
MgO (5–12%) [23]","β−Dicalcium−silicate (Ca2​SiO4​)
Bredigite (Ca1.7​Mg0.3​SiO4​)
Cuspidine (Ca24F2​Si2O7​)
Gehlenite [23]","Cr, Ca, Si, Mg, Ni, Mo, Ti, V, Mn, Fe, Al, F [23]",Solid state: granular or rocky aggregate [17],Estimated to be 15–17 Mt global annual amount production [23],Highly basic: used for neutralising acidic wastewater [23],Low: solid granular aggregate [23]
Steel (scrap–based),"Scrap steel, direct reduced iron [23, 38]",Ladle slag,"Secondary steel refining – Ladle Furnace (LF) [52, 23, 43]","Aging to complete y–C2S (gamma–dicalcium silicate) transformation for preventing dust and stabilising expansion [17]
Crushing and sieving for soil–stabilization feedstock used in cementitious applications [46]
Mechanical activation (i.e., milling) of Supplementary Cementitious Material (SCM) or geopolymer to increase reactivity by fine grinding [38, 46]","High basicity and dusting,instability of volume [43]","Supplementary Cementitious Material (SCM) or geopolymer usage suitable for lowering the cement cost [23, 6]","Quicklime subsitute, soil stabilization, Supplementary Cementitious Material (SCM) or geopolymers [52, 23]",Al (bauxite) [52],Mg metal [52],"CaO (30–65%)
Al2O3 (5–37%)
SiO2 (0.7–35%)
FeO (<10%)
MgO (1–10%) [52]","Larnite (Ca2​SiO4​)
Mayenite (Ca12Al14O33)
Periclase (MgO)
Portlandite (Ca(OH)2​) [6]","Ca, Si, Mg, Al, Fe, Mn, Ti, V, Nb, S [38]",Solid state: typically fine powder or fine granular due to dusting phase [52],10–80 kg/t Liquid Steel (LS) (average of 45 kg/t) [38],11.0–13.0: highly alkaline nature with an average of 12.5 approximately [6],Low: solid powder or granular material exhibiting dust behavior [52]
Vanadium – bearing Steel or Iron,"Titaniferous magnetite, vanadinite [23, 51]","Slags from vanadium–bearing  steel and iron industry, flue dust",Steelmaking and V recovery step [51],"Oxidation roasting (Na2CO3 or CaO) to convert V–bearing phases into soluble vandates for efficient extraction [51]
Selective leaching to dissolve V species and separate recoverable V5+ from the Fe–rich residue [51]
Dust recirculation in BOF or EAF units to recover Fe and reduce waste generation [51]
Magnetic separation to isolate Fe–rich material from V–enriched oxides before or after roasting [51]
Secondary smelting to concentrate V in the slag phase while producing recyclable metallic Fe [51]
Stabilization of fine V bearing particulates during off–gas dust cleaning to ensure safe handling [51]","Variable V content, dust handling issues [51]","V recovery which is a high economic value, especially for battery applications [51]","V compounds (V2O5, APV), Fe production [51]",V [51],Not applicable,V (1450–1500 mg/kg) in EAF slag [51],"Vanadium spinel (FeV2​O4​)
Fayalite (Fe2​SiO4​)
Titanomagnetite [51]","V, Fe, Ti, Mn, Cr, Al, Si, Mg [51]",Solid state: granular slag or fine flue dust powder [51],~52 Mt total steelmaking byproduct according to 2019 EU production [38],11.0–13.0: slag matrix or acidic recovery context [51],Low: managed as solid slag or fine flue dust [51]
Copper,"Chalcopyrite (CuFeS2), bornite (Cu5FeS4) [53, 48]",Copper smelter slag,"Copper pyrometallurgy – matte smelting or converting [18, 53, 45]","Flotation of entrapped matte phase to recover Cu– and Fe–rich mineral fractions [18]
Reduction smelter slag to separate metallic Fe and Cu droplets from Si matrix [31]
High temperature fuming to volatilise Zn and Pb for off–gas recovery [18]
Mechanical activation like fine grinding to enhance latent hydraulic reactivity for binder use [54]","Hindrance in grinding due to glassy nature, environmental classification [18]",86% environmental impact reduction in comparison to primary mining [53],"Supplementary Cementitious Material (SCM), inorganic polymer binders, aggregates, blasting media, metal recovery of Cu, Fe, Au, Ag, PGMs [18, 45]","P, traces of REEs – LREEs and HREEs [48]","Ni (battery grade), Co, Cu [48]","FeO (48%)
SiO2 (24.20%)
ZnO (4.73%)
CaO (2.54%)
Al2O3 (7.61%) [18]","Fayalite (Fe2​SiO4​)
Magnetite (Fe3​O4​)
Zinc–rich glass [45]","Fe, Si, Al, Zn, Ca, Cr, Cu, Pb [18]","Solid state: granular, stony or vitrified or glassy [18]",Included in general >8.5 Mt annual production [44],Alkaline: stable fayalitic glass matrix [45],Low: vitrified or glassy solid [18]
Copper,"Chalcopyrite (CuFeS2), bornite (Cu5FeS4) [53, 48]",Flue dust or ESP dust,"Off–gas cleaning – roasters or smelters or converters [53, 30]","Hydrometallurgical leaching like acid or alkali, to dissolve Zn and Pb or As or Sb selectivity from oxide mixture [53,20]
Volatilisation in fuming furnaces to separate volatile metals from residue [21]
Stabilization or solidification to immobilise hazardous elements for safe handling [21]","High volatility of As or Pb or Cd, hazardous [48]",Recovery of valuable volatile metals (As or Sb or Bi or Zn) [53],"ZnO, Cu electrowinning, sponge Cd, concentrates of Zn and Pb or As or Sb [48]",V [30] ,"Traces of PGMs, REEs for magnets [35]","Primarily rich in Cu, Cd, Zn (volatile components)
V, Sn, Pb, As, Zn (detected strategic metals) [38]","Zincite (ZnO)
Anglesite (PbSO4)
Other volatile metallic oxides [35]","V, Sn, Pb, As, Zn, Cu, Cd [38]",Solid state: ultra–fine powder collected from Electrostatic Precipitators [35],Represents 11.83% of integrated route byproducts [38],Alkaline: high Na and Ca oxide content [41],Low: ultra–fine dry powder collected from ESP [35]
